
name,provider,skills
Machine Learning Specialization - Andrew Ng,Coursera,"machine learning,statistics,python"
Deep Learning Specialization,Coursera,"deep learning,tensorflow,neural networks"
Generative AI with Large Language Models,Coursera,"generative ai,llms,prompt engineering"
MLOps Specialization,Coursera,"mlops,docker,kubernetes"
Prompt Engineering for ChatGPT & LLMs,Coursera,"prompt engineering,llms,generative ai"
The Complete 2026 Web Development Bootcamp,Udemy,"javascript,react,node.js,next.js"
Java Spring Boot Microservices Masterclass,Udemy,"java,spring boot,microservices"
Docker and Kubernetes: The Complete Guide,Udemy,"docker,kubernetes,ci/cd"
AWS Certified Cloud Practitioner + Solutions Architect,Udemy,"aws,cloud architecture"
Digital Marketing Masterclass 2026,Udemy,"seo,google analytics,social media marketing"
UI/UX Design with Figma - Complete Masterclass,Udemy,"figma,prototyping,wireframing"
LangChain & Agentic AI Development,Udemy,"langchain,agentic ai,llms"
Advanced Data Analysis with Python,Coursera,"python,pandas,numpy,sql,data analysis"
Terraform for Cloud Engineers,Udemy,"terraform,aws,cloud architecture"
React & Next.js Masterclass,Udemy,"react,next.js,typescript"
Full Stack with Django & FastAPI,Udemy,"django,fastapi,python,postgresql"
